,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL
249,o,o,b,b,x,x,b,x,b,1,0,0,0,2,1,0,0,0,2
250,o,b,o,x,x,o,x,b,x,1,0,0,0,2,0,1,0,0,1
251,b,b,x,b,o,b,x,o,x,1,0,2,1,0,0,0,0,0,1
252,x,b,x,o,o,b,x,b,b,1,0,0,0,1,2,0,0,0,5
253,x,o,b,x,o,b,o,x,x,1,0,0,0,0,0,0,0,2,2
254,o,x,b,x,o,o,x,b,x,1,0,0,0,0,0,1,0,0,7
255,b,b,b,x,o,b,x,x,o,1,1,0,0,0,0,0,2,0,0
256,o,o,x,x,x,o,b,b,x,1,0,0,0,0,0,0,0,1,6
257,x,o,x,b,o,b,b,x,b,1,0,0,0,0,0,0,0,0,3
258,x,o,x,o,o,b,b,x,x,1,0,0,1,0,2,1,0,0,5
259,x,o,x,b,o,x,b,x,o,1,0,0,0,0,0,0,0,0,3
260,o,o,x,b,x,b,b,x,b,1,0,0,0,0,0,0,0,1,6
261,o,o,x,x,x,b,o,x,b,1,0,0,0,0,1,0,0,0,5
262,x,b,o,x,o,x,b,x,o,1,1,0,0,0,0,0,0,2,6
263,x,b,b,o,o,b,x,b,x,1,0,0,0,0,2,1,0,0,5
264,b,x,x,b,o,o,x,b,b,1,0,0,0,1,2,0,0,0,3
265,o,x,b,x,x,o,x,o,b,1,0,0,0,0,0,0,0,1,2
266,x,o,x,o,o,x,b,x,b,1,0,0,1,0,0,0,0,0,8
267,b,b,x,b,o,x,x,b,o,1,0,0,0,0,0,0,2,0,0
268,o,x,o,b,o,x,x,b,x,1,0,0,0,0,0,1,0,0,7
269,b,b,o,x,o,x,x,o,x,1,1,2,0,0,0,0,0,0,1
270,b,x,x,b,o,o,b,b,x,1,0,0,0,1,2,0,0,0,3
271,x,o,x,x,o,b,o,x,b,1,0,0,0,0,0,0,0,0,5
272,o,x,b,x,o,o,x,x,b,1,0,0,0,0,0,1,2,0,8
273,x,x,o,b,o,x,b,x,o,1,0,0,0,0,0,0,0,2,6
274,b,x,b,o,o,x,b,b,x,1,0,0,1,0,0,0,0,0,2
275,x,x,o,o,o,x,b,b,x,1,0,0,0,0,0,0,0,2,6
276,o,o,b,x,o,x,x,x,b,1,0,0,0,2,0,1,2,0,8
277,x,o,x,o,o,x,x,b,b,1,0,2,1,0,0,0,0,0,7
278,o,x,x,o,x,b,b,o,x,1,2,0,1,0,0,0,0,1,6
279,o,b,x,x,o,b,x,o,x,1,0,2,1,0,0,0,0,0,1
280,o,x,b,x,o,b,x,o,x,1,0,0,0,0,0,0,0,0,2
281,x,o,b,o,o,x,x,b,x,1,0,2,1,0,0,1,0,0,7
282,x,x,o,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,5
283,o,x,b,o,x,x,x,o,b,1,0,0,0,0,0,0,0,1,2
284,x,b,b,b,o,o,b,x,x,1,0,0,0,0,2,1,0,0,3
285,x,b,o,b,o,x,x,o,x,1,1,2,0,0,0,0,0,0,1
286,x,o,b,b,o,x,x,b,b,1,1,2,0,0,0,0,0,0,7
287,o,o,x,x,x,o,b,x,b,1,0,0,0,0,0,0,0,1,6
288,o,x,b,x,x,b,b,o,b,1,0,0,0,0,1,0,0,0,5
289,o,o,b,x,o,x,b,x,x,1,0,0,1,2,0,1,0,0,2
290,b,x,o,x,o,x,b,b,b,1,0,0,0,0,0,0,0,2,6
291,o,o,x,b,x,b,o,x,x,1,2,0,1,0,0,0,0,0,3
292,o,b,o,x,x,b,b,b,x,1,0,0,0,2,1,0,0,0,1
293,b,x,b,o,o,x,x,o,x,1,0,0,1,0,0,0,0,0,2
294,o,x,o,x,x,b,x,o,b,1,0,0,0,0,1,0,0,0,5
295,o,x,o,x,o,b,b,x,x,1,0,0,0,0,0,1,0,2,6
296,o,x,x,x,x,b,o,o,b,1,0,0,0,0,1,2,0,0,8
297,b,x,o,o,o,x,b,x,x,1,0,0,0,0,0,1,0,2,6
298,o,b,x,x,x,b,o,b,b,1,0,0,0,0,1,0,0,0,5
299,o,b,x,x,x,o,o,x,b,1,0,1,0,0,0,0,0,0,1
300,o,x,x,x,o,x,b,o,b,1,0,0,1,0,0,0,2,0,8
301,o,x,o,b,x,x,b,o,x,1,0,0,0,0,1,0,0,0,3
302,o,x,o,o,x,x,x,b,b,1,0,1,0,0,0,0,0,0,7
303,o,x,x,b,o,o,b,x,x,1,0,0,0,0,2,1,0,0,3
304,o,x,x,o,o,x,b,x,b,1,2,0,1,0,0,0,2,0,8
305,x,o,x,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,5
306,o,x,b,x,x,o,b,o,x,1,0,0,0,0,0,0,0,0,2
307,b,x,o,o,o,x,x,b,x,1,0,0,0,0,0,1,0,0,7
308,x,o,b,b,o,x,o,x,x,1,0,0,1,0,0,0,0,2,2
309,o,o,x,b,x,x,o,x,b,1,2,0,1,0,1,0,0,0,3
310,o,b,x,x,o,b,o,x,x,1,0,0,1,0,0,0,0,0,5
311,x,x,o,x,o,x,b,o,b,1,1,0,0,0,0,0,0,2,6
312,o,b,o,o,x,x,x,x,b,1,0,1,0,2,0,1,0,0,1
313,b,o,b,x,o,x,o,x,x,1,0,0,1,0,0,0,0,2,2
314,o,o,b,x,x,o,x,x,b,1,0,0,0,2,0,1,0,1,2
315,o,x,o,x,x,b,b,o,x,1,0,0,0,0,1,0,0,0,5
